epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.90625,0.4420345425605774,,
0,99,0.84375,0.7070969939231873,,
0,149,0.78125,0.7209109663963318,,
0,199,0.875,0.5265383720397949,,
0,249,0.8125,0.6580175757408142,,
0,299,0.875,0.47508442401885986,,
0,349,0.875,0.5291019082069397,,
0,399,0.9375,0.38201218843460083,,
0,449,0.875,0.5710009336471558,,
0,499,0.78125,0.7284122705459595,,
0,549,0.84375,0.5730920433998108,,
0,599,0.96875,0.27575334906578064,,
0,649,0.84375,0.6881203055381775,,
0,699,0.875,0.6791033148765564,,
0,749,0.9375,0.27968764305114746,,
0,799,0.84375,0.4312891960144043,,
0,849,0.84375,0.4560322165489197,,
0,899,0.8125,0.6254239678382874,,
0,949,0.75,0.8295291066169739,,
0,999,0.875,0.28688353300094604,,
0,1049,0.9375,0.3762272596359253,,
0,1099,0.8125,0.5485451817512512,,
0,1149,0.90625,0.3340749740600586,,
0,1199,0.875,0.2976135015487671,,
0,1249,0.875,0.47145476937294006,,
0,1299,0.875,0.4038030505180359,,
0,1349,0.875,0.277701735496521,,
0,1399,0.84375,0.5208583474159241,,
0,1449,0.8125,0.8709055781364441,,
0,1499,0.90625,0.30181267857551575,,
0,1549,0.8125,0.46662166714668274,,
0,1599,0.875,0.42231714725494385,,
0,1649,0.75,0.6107913851737976,,
0,1699,0.9375,0.25633835792541504,,
0,1749,0.9375,0.19824805855751038,,
0,1799,0.90625,0.30735355615615845,,
0,1849,0.875,0.45185673236846924,,
0,1899,0.90625,0.3103126883506775,,
0,1949,0.90625,0.33530157804489136,,
0,1999,0.84375,0.469309002161026,,
0,2049,0.8125,0.6975488662719727,,
0,2099,0.8125,0.7381395697593689,,
0,2149,0.84375,0.4833016097545624,,
0,2199,0.875,0.40138304233551025,,
0,2249,0.96875,0.13925328850746155,,
0,2299,0.875,0.4785999655723572,,
0,2349,0.90625,0.31881189346313477,,
0,2399,0.84375,0.45894908905029297,,
0,2449,0.90625,0.18133091926574707,,
0,2462,,,0.9122787117958069,0.3214656114578247
1,2499,0.875,0.5301812291145325,,
1,2549,0.9375,0.2961517572402954,,
1,2599,0.9375,0.1520419418811798,,
1,2649,1.0,0.08909481763839722,,
1,2699,0.90625,0.33754056692123413,,
1,2749,0.9375,0.19111131131649017,,
1,2799,0.96875,0.10502520203590393,,
1,2849,0.8125,0.637107253074646,,
1,2899,0.9375,0.14372137188911438,,
1,2949,1.0,0.08255912363529205,,
1,2999,0.96875,0.15429429709911346,,
1,3049,0.96875,0.11580634862184525,,
1,3099,0.875,0.39915403723716736,,
1,3149,0.875,0.3303300440311432,,
1,3199,0.9375,0.21339717507362366,,
1,3249,0.9375,0.333379864692688,,
1,3299,0.875,0.3171791434288025,,
1,3349,0.875,0.38781625032424927,,
1,3399,0.90625,0.19954955577850342,,
1,3449,0.9375,0.17120258510112762,,
1,3499,0.9375,0.09876751899719238,,
1,3549,0.96875,0.13353393971920013,,
1,3599,0.8125,0.39488837122917175,,
1,3649,0.875,0.32948023080825806,,
1,3699,0.84375,0.4670141637325287,,
1,3749,0.875,0.40269678831100464,,
1,3799,0.90625,0.44422248005867004,,
1,3849,0.90625,0.27442726492881775,,
1,3899,0.90625,0.3446011543273926,,
1,3949,0.96875,0.15266850590705872,,
1,3999,0.96875,0.1383359134197235,,
1,4049,0.96875,0.14523527026176453,,
1,4099,0.96875,0.26217836141586304,,
1,4149,0.84375,0.5737085938453674,,
1,4199,1.0,0.06757191568613052,,
1,4249,0.96875,0.12892693281173706,,
1,4299,0.9375,0.1908818781375885,,
1,4349,0.84375,0.45516979694366455,,
1,4399,0.96875,0.12824805080890656,,
1,4449,0.875,0.5717323422431946,,
1,4499,0.875,0.4943625330924988,,
1,4549,0.96875,0.14443553984165192,,
1,4599,1.0,0.13086634874343872,,
1,4649,0.96875,0.13876307010650635,,
1,4699,0.875,0.40723758935928345,,
1,4749,0.96875,0.0893775150179863,,
1,4799,0.96875,0.21477243304252625,,
1,4849,1.0,0.055093083530664444,,
1,4899,0.84375,0.3904458284378052,,
1,4925,,,0.9354654550552368,0.21929879486560822
2,4949,0.96875,0.3460836708545685,,
2,4999,1.0,0.04974593594670296,,
2,5049,0.96875,0.12378764152526855,,
2,5099,0.90625,0.25987672805786133,,
2,5149,0.875,0.3598068058490753,,
2,5199,0.90625,0.4260028600692749,,
2,5249,0.9375,0.1564144641160965,,
2,5299,1.0,0.0885973647236824,,
2,5349,0.96875,0.11852525919675827,,
2,5399,0.875,0.4816425144672394,,
2,5449,1.0,0.02417963370680809,,
2,5499,0.9375,0.2180059850215912,,
2,5549,0.9375,0.18476587533950806,,
2,5599,0.96875,0.09878559410572052,,
2,5649,0.9375,0.2639988958835602,,
2,5699,0.9375,0.20660245418548584,,
2,5749,0.9375,0.3708885908126831,,
2,5799,0.9375,0.1623714566230774,,
2,5849,0.96875,0.3081192374229431,,
2,5899,0.96875,0.10641446709632874,,
2,5949,1.0,0.03522272780537605,,
2,5999,0.96875,0.184149831533432,,
2,6049,0.90625,0.49127525091171265,,
2,6099,0.9375,0.23803271353244781,,
2,6149,0.84375,0.38051003217697144,,
2,6199,1.0,0.06165073812007904,,
2,6249,0.90625,0.10680713504552841,,
2,6299,0.9375,0.1864953339099884,,
2,6349,0.9375,0.12174239754676819,,
2,6399,0.9375,0.1380072385072708,,
2,6449,0.9375,0.25384071469306946,,
2,6499,0.90625,0.3411506116390228,,
2,6549,0.90625,0.27798232436180115,,
2,6599,0.9375,0.25772520899772644,,
2,6649,0.9375,0.3454630374908447,,
2,6699,0.96875,0.052181415259838104,,
2,6749,1.0,0.06664294749498367,,
2,6799,0.96875,0.32630690932273865,,
2,6849,0.90625,0.1552571952342987,,
2,6899,0.96875,0.051127661019563675,,
2,6949,0.90625,0.30626651644706726,,
2,6999,0.90625,0.1860218644142151,,
2,7049,0.9375,0.15589244663715363,,
2,7099,0.90625,0.30214792490005493,,
2,7149,0.96875,0.1431071013212204,,
2,7199,0.96875,0.09985236823558807,,
2,7249,0.84375,0.5424452424049377,,
2,7299,0.8125,0.4939587414264679,,
2,7349,0.90625,0.2099258452653885,,
2,7388,,,0.9556824564933777,0.1638609915971756
3,7399,0.9375,0.22811560332775116,,
3,7449,1.0,0.0281689316034317,,
3,7499,1.0,0.05351661518216133,,
3,7549,1.0,0.06686544418334961,,
3,7599,0.9375,0.2084309458732605,,
3,7649,0.84375,0.34450918436050415,,
3,7699,0.96875,0.09482848644256592,,
3,7749,0.9375,0.22858867049217224,,
3,7799,0.96875,0.09112726151943207,,
3,7849,0.90625,0.3594392240047455,,
3,7899,0.84375,0.6238864064216614,,
3,7949,1.0,0.028290169313549995,,
3,7999,0.96875,0.06545915454626083,,
3,8049,0.875,0.4172278940677643,,
3,8099,0.9375,0.13177523016929626,,
3,8149,0.9375,0.18336674571037292,,
3,8199,0.90625,0.4911994934082031,,
3,8249,0.96875,0.14742781221866608,,
3,8299,0.96875,0.0809439867734909,,
3,8349,1.0,0.04382775351405144,,
3,8399,0.96875,0.08628058433532715,,
3,8449,1.0,0.014123082160949707,,
3,8499,0.90625,0.38467925786972046,,
3,8549,0.96875,0.05404042825102806,,
3,8599,0.90625,0.3084912598133087,,
3,8649,1.0,0.023805435746908188,,
3,8699,0.9375,0.30067554116249084,,
3,8749,1.0,0.025740617886185646,,
3,8799,0.96875,0.18540208041667938,,
3,8849,0.90625,0.27407243847846985,,
3,8899,0.9375,0.122322678565979,,
3,8949,0.96875,0.07766655832529068,,
3,8999,0.875,0.2534852921962738,,
3,9049,0.96875,0.10287752747535706,,
3,9099,0.96875,0.16238510608673096,,
3,9149,0.9375,0.22306282818317413,,
3,9199,0.9375,0.15192674100399017,,
3,9249,0.90625,0.3861985206604004,,
3,9299,0.9375,0.4336468279361725,,
3,9349,0.9375,0.2922794222831726,,
3,9399,0.90625,0.3846777677536011,,
3,9449,0.90625,0.2209344208240509,,
3,9499,0.90625,0.24398143589496613,,
3,9549,0.78125,0.5934934020042419,,
3,9599,0.96875,0.07622657716274261,,
3,9649,1.0,0.06953532993793488,,
3,9699,0.90625,0.3751792311668396,,
3,9749,1.0,0.01034059002995491,,
3,9799,0.90625,0.2392151802778244,,
3,9849,0.9375,0.3972439467906952,,
3,9851,,,0.9600228667259216,0.1475220024585724
4,9899,0.96875,0.07304339110851288,,
4,9949,1.0,0.0347122848033905,,
4,9999,0.96875,0.12509211897850037,,
4,10049,0.96875,0.05145085230469704,,
4,10099,0.9375,0.27922123670578003,,
4,10149,0.90625,0.29648593068122864,,
4,10199,0.96875,0.24192385375499725,,
4,10249,1.0,0.03464566171169281,,
4,10299,0.90625,0.1783449351787567,,
4,10349,1.0,0.03285970166325569,,
4,10399,1.0,0.023968400433659554,,
4,10449,0.90625,0.2042081654071808,,
4,10499,0.9375,0.21666109561920166,,
4,10549,0.9375,0.18501020967960358,,
4,10599,0.90625,0.4108557403087616,,
4,10649,0.96875,0.07179445773363113,,
4,10699,0.96875,0.13282041251659393,,
4,10749,0.96875,0.06646314263343811,,
4,10799,0.9375,0.24012455344200134,,
4,10849,0.9375,0.31098225712776184,,
4,10899,0.96875,0.07086525857448578,,
4,10949,0.875,0.43879786133766174,,
4,10999,0.90625,0.1808893233537674,,
4,11049,0.96875,0.053272560238838196,,
4,11099,0.9375,0.102663554251194,,
4,11149,0.875,0.24684792757034302,,
4,11199,1.0,0.0777299702167511,,
4,11249,0.96875,0.06323205679655075,,
4,11299,1.0,0.026089930906891823,,
4,11349,0.96875,0.21408875286579132,,
4,11399,0.90625,0.24163196980953217,,
4,11449,0.875,0.40365269780158997,,
4,11499,0.96875,0.09477950632572174,,
4,11549,1.0,0.045533113181591034,,
